"","class","Subgenome","number_genome_presence","n"
"1","Private Gene","Non-Syntenic",1,19576
"2","Core Gene","Non-Syntenic",26,10618
"3","Dispensable Gene","Non-Syntenic",2,10436
"4","Core Gene","M1",26,10435
"5","Core Gene","M2",26,6857
"6","Dispensable Gene","Non-Syntenic",3,6403
"7","Dispensable Gene","Non-Syntenic",4,5038
"8","Dispensable Gene","Non-Syntenic",5,3689
"9","Dispensable Gene","Non-Syntenic",6,2925
"10","Dispensable Gene","Non-Syntenic",7,2624
"11","Dispensable Gene","Non-Syntenic",8,2165
"12","Dispensable Gene","Non-Syntenic",9,1859
"13","Near-Core Gene","Non-Syntenic",25,1836
"14","Dispensable Gene","Non-Syntenic",10,1636
"15","Dispensable Gene","Non-Syntenic",11,1451
"16","Dispensable Gene","Non-Syntenic",12,1333
"17","Dispensable Gene","Non-Syntenic",13,1258
"18","Dispensable Gene","Non-Syntenic",14,1148
"19","Near-Core Gene","Non-Syntenic",24,1079
"20","Dispensable Gene","Non-Syntenic",15,1053
"21","Dispensable Gene","Non-Syntenic",17,940
"22","Dispensable Gene","Non-Syntenic",16,918
"23","Dispensable Gene","Non-Syntenic",20,900
"24","Dispensable Gene","Non-Syntenic",19,896
"25","Dispensable Gene","Non-Syntenic",23,880
"26","Dispensable Gene","Non-Syntenic",21,872
"27","Dispensable Gene","Non-Syntenic",22,851
"28","Dispensable Gene","Non-Syntenic",18,829
"29","Near-Core Gene","M1",25,741
"30","Private Gene","M1",1,247
"31","Near-Core Gene","M2",25,245
"32","Near-Core Gene","M1",24,175
"33","Dispensable Gene","M1",2,141
"34","Dispensable Gene","M1",22,78
"35","Dispensable Gene","M1",4,77
"36","Near-Core Gene","M2",24,66
"37","Private Gene","M2",1,65
"38","Dispensable Gene","M1",23,43
"39","Dispensable Gene","M2",22,38
"40","Dispensable Gene","M2",2,37
"41","Dispensable Gene","M2",23,36
"42","Dispensable Gene","M2",3,27
"43","Dispensable Gene","M2",6,24
"44","Dispensable Gene","M2",4,22
"45","Dispensable Gene","M1",18,21
"46","Dispensable Gene","M1",21,21
"47","Dispensable Gene","M1",15,20
"48","Dispensable Gene","M2",15,20
"49","Dispensable Gene","M1",5,19
"50","Dispensable Gene","M1",19,19
"51","Dispensable Gene","M2",11,19
"52","Dispensable Gene","M2",5,18
"53","Dispensable Gene","M2",19,17
"54","Dispensable Gene","M1",16,16
"55","Dispensable Gene","M1",14,15
"56","Dispensable Gene","M2",7,15
"57","Dispensable Gene","M2",10,15
"58","Dispensable Gene","M2",13,15
"59","Dispensable Gene","M1",9,14
"60","Dispensable Gene","M1",11,14
"61","Dispensable Gene","M1",20,14
"62","Dispensable Gene","M2",17,14
"63","Dispensable Gene","M1",7,13
"64","Dispensable Gene","M2",18,13
"65","Dispensable Gene","M2",20,13
"66","Dispensable Gene","M1",3,12
"67","Dispensable Gene","M2",8,12
"68","Dispensable Gene","M2",9,11
"69","Dispensable Gene","M1",8,10
"70","Dispensable Gene","M1",17,10
"71","Dispensable Gene","M2",12,10
"72","Dispensable Gene","M2",16,10
"73","Dispensable Gene","M2",21,10
"74","Dispensable Gene","M1",6,9
"75","Dispensable Gene","M1",10,8
"76","Dispensable Gene","M1",13,8
"77","Dispensable Gene","M1",12,7
"78","Dispensable Gene","M2",14,4
