matrix,B97,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M162W,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
B97,0,27726,25375,27091,25185,25475,25689,25965,26462,27842,26109,25495,24820,28614,27600,26604,26642,30637,25789,25524,30816,31278,25147,25622,21863
CML103,27726,0,28319,30550,28270,27126,26281,29183,28916,26993,23910,27921,27912,27108,27959,26789,27798,25436,27490,28611,28155,27214,23038,26040,24020
CML228,25375,28319,0,28401,27040,26161,25993,27744,28804,24733,21971,30447,33419,25110,26497,25070,26557,24207,27473,27807,25431,24872,21150,24956,23658
CML247,27091,30550,28401,0,29259,29180,27177,31664,29395,26271,22537,28017,27997,26106,28142,26863,28652,25620,28490,28875,27976,27237,22166,25659,25258
CML277,25185,28270,27040,29259,0,26900,26209,28183,28189,24570,21691,26792,26979,24944,25999,26093,26868,24244,27886,27373,25493,25104,20762,25073,24504
CML322,25475,27126,26161,29180,26900,0,27039,27899,28224,24530,22186,26755,25955,25149,26730,25906,26826,25860,26968,27050,25881,26749,21509,25068,24239
CML333,25689,26281,25993,27177,26209,27039,0,27291,27461,24938,22061,26249,26064,24818,26197,25830,26452,25630,26488,27091,24989,26062,21261,25266,24270
CML52,25965,29183,27744,31664,28183,27899,27291,0,29560,25787,21814,27826,27876,25246,27372,26055,27740,24552,27539,29531,27266,26067,21090,25210,25132
CML69,26462,28916,28804,29395,28189,28224,27461,29560,0,25954,22571,28688,28822,25811,27396,26545,27998,25550,27850,28739,26938,26297,21964,25849,24711
HP301,27842,26993,24733,26271,24570,24530,24938,25787,25954,0,26826,25382,25062,26834,27049,25829,26027,26880,24209,25834,29449,27183,26663,24758,21325
Il14H,26109,23910,21971,22537,21691,22186,22061,21814,22571,26826,0,22156,21522,25668,24049,23258,23486,25358,21871,22333,26576,25365,33960,22490,18717
Ki11,25495,27921,30447,28017,26792,26755,26249,27826,28688,25382,22156,0,29611,25069,26446,25788,26635,24910,27418,27804,25968,25027,21402,25402,23678
Ki3,24820,27912,33419,27997,26979,25955,26064,27876,28822,25062,21522,29611,0,24781,26110,25080,26188,23978,27454,27608,25559,24603,20958,24655,23470
Ky21,28614,27108,25110,26106,24944,25149,24818,25246,25811,26834,25668,25069,24781,0,27738,26473,26362,27614,25143,25292,27741,28333,24519,25196,22140
M162W,27600,27959,26497,28142,25999,26730,26197,27372,27396,27049,24049,26446,26110,27738,0,26624,28013,27053,26137,26976,28911,28259,24165,26256,23368
M37W,26604,26789,25070,26863,26093,25906,25830,26055,26545,25829,23258,25788,25080,26473,26624,0,26302,25565,25683,25977,26773,26470,22711,24937,23462
Mo18W,26642,27798,26557,28652,26868,26826,26452,27740,27998,26027,23486,26635,26188,26362,28013,26302,0,25790,26528,27430,26608,26599,22941,26131,23743
Ms71,30637,25436,24207,25620,24244,25860,25630,24552,25550,26880,25358,24910,23978,27614,27053,25565,25790,0,24431,24826,28937,29835,25171,25230,21732
NC350,25789,27490,27473,28490,27886,26968,26488,27539,27850,24209,21871,27418,27454,25143,26137,25683,26528,24431,0,29708,24750,25223,20687,24659,23896
NC358,25524,28611,27807,28875,27373,27050,27091,29531,28739,25834,22333,27804,27608,25292,26976,25977,27430,24826,29708,0,26137,25967,21857,26078,24355
Oh43,30816,28155,25431,27976,25493,25881,24989,27266,26938,29449,26576,25968,25559,27741,28911,26773,26608,28937,24750,26137,0,30071,26852,25945,21982
Oh7B,31278,27214,24872,27237,25104,26749,26062,26067,26297,27183,25365,25027,24603,28333,28259,26470,26599,29835,25223,25967,30071,0,24977,25453,22674
P39,25147,23038,21150,22166,20762,21509,21261,21090,21964,26663,33960,21402,20958,24519,24165,22711,22941,25171,20687,21857,26852,24977,0,21600,18566
Tx303,25622,26040,24956,25659,25073,25068,25266,25210,25849,24758,22490,25402,24655,25196,26256,24937,26131,25230,24659,26078,25945,25453,21600,0,22581
Tzi8,21863,24020,23658,25258,24504,24239,24270,25132,24711,21325,18717,23678,23470,22140,23368,23462,23743,21732,23896,24355,21982,22674,18566,22581,0
